App name,Category,Version,Rating,Review,Downloads,If target is MSM,Group,Description,
Gay Pop Radio LGBT Los Angeles,,,,,,,,,
Gay Pride Photo Editor,,,,,,,,,
Gay pride stickers - icons for WhatsApp,,,,,,,,,
Gay Quotes,,,,,,,,,
Gay ringtones,,,,,,,,,
Gay Scout by DAMRON,,,,,,,,,
Gay Share Australia - Gay & Lesbian Flatmates,,,,,,,,,
Gay Sitges Guide,,,,,,,,,
Gay Stickers - WAStickerApps,,,,,,,,,
Gay Stickers And Gay Pride,,,,,,,,,
Gay Stickers for WhatsApp - WAStickerApps,,,,,,,,,
"Gay Sugar Daddy & Muscle Daddies, Baby Chaser App",,,,,,,,,
Gay Sugar Daddy Dating App,,,,,,,,,
Gay tchat and dating BB,,,,,,,,,
Gay test,,,,,,,,,
Gay Test: Am i Gay or Straight,,,,,,,,,
GAY TIMES,,,,,,,,,
Gay Travel,,,,,,,,,
Gay True,,,,,,,,,
Gay Valentine Cards – LGBT Greeting Cards,,,,,,,,,
Gay video chat & dating Homosexuals : Live Gay,,,,,,,,,
Gay Weddings and Marriage,,,,,,,,,
Gay Widows,,,,,,,,,
Gay World,,,,,,,,,
Gay Yellow Pages,,,,,,,,,
GAY-T : Meilleure application gay sérieuse,,,,,,,,,
"Gay, Lesbian Love Spells / Stop Cheating Spells",,,,,,,,,
"Gay, Lesbian Love Spells | Stop Divorce Spells",,,,,,,,,
GAYamo.re - Gay Chat und Dating für Schwule,,,,,,,,,
GAYBC - Gay Christian Dating App,,,,,,,,,
"Gaydar - Gay Chat, Dating Apps & Meet Me Online",,,,,,,,,
Gaydar. Gay & Bisexual Dating.,,,,,,,,,
GayDate - The Ultimate Gay Dating & Chatting App,,,,,,,,,
Gaymak - Gay Chat and Dating,,,,,,,,,
GayMardelChat,,,,,,,,,
gayNOLA (aka gay NOLA),,,,,,,,,
"GayRoyal - Gay Dating, Chat, Love",,,,,,,,,
GayXchange: Gay Chat & Dating,,,,,,,,,
GChat - Gay Chat & Dating,,,,,,,,,
GDate: Gay Dating Apps & Flirt,,,,,,,,,
GDating - Chat and gay dating,,,,,,,,,
GetHitched - LGBT Matrimonial,,,,,,,,,
Getmale Gay dating - Meet gays,,,,,,,,,
Getmorefriends LGBT - Meet and find LGBT friends,,,,,,,,,
Gikers: Gay Hikers & Bikers - LGBTQ & Friends,,,,,,,,,
GINTER - GAY VIDEO CHAT,,,,,,,,,
Girl Zone - Lesbian Dating App & Female Friendship,,,,,,,,,
GKiss: Gay Dating & Chat,,,,,,,,,
GL Nations - Free LGBT Streaming Your Way,,,,,,,,,
GLXY - a 100 % FREE Gay Chat & Dating App,,,,,,,,,
God is Gay,,,,,,,,,
Grindr - Gay chat,,,,,,,,,
Grizzly - Gay Dating and Chat,,,,,,,,,
GROWLr: Gay Bears Near You,,,,,,,,,
Gsland - Gay Dating & Chat & Match,,,,,,,,,
GTing-Gay Dating,,,,,,,,,
Guess the Gay Celebrity (Queer & LGBTQ GAME),,,,,,,,,
Guydi,,,,,,,,,
Guys Only Dating: Gay Chat,,,,,,,,,
GuySpy: Gay Dating and Chat App,,,,,,,,,
GYEE,,,,,,,,,
GYM - Gay Chat & Dating,,,,,,,,,
Ha! Gay! Button,,,,,,,,,
HappiTV,,,,,,,,,
Havenless - Your Choice Otome Thriller Game,,,,,,,,,
HD LGBT Wallpapers and image editor,,,,,,,,,
Her - Lesbian Dating App,,,,,,,,,
her tears were my light,,,,,,,,,
Hey Love Chris: Chat Love Story,,,,,,,,,
hidden bi wallpapers,,,,,,,,,
Hily Dating App: Meet New People & Enjoy streaming,,,,,,,,,
HIM - Gay Dating & Chat,,,,,,,,,
Historias románticas gays,,,,,,,,,
HOLE — the gay dating app,,,,,,,,,
Homo Driver,,,,,,,,,
Hookup Dating X,,,,,,,,,
Hookup: Casual Dating Flirt app - Hook up Nearby,,,,,,,,,
Hookups - Hookup Dating for Singles Date Hook Up,,,,,,,,,
Hornet - Gay Social Network,,,,,,,,,
Hot Gay Movies and Videos 2021,,,,,,,,,
Hotmale - Gay Social Dating,,,,,,,,,
How to Tell if Someone is Gay Guide,,,,,,,,,
Imagenes LGBT,,,,,,,,,
Immortal Heart : Sexy Anime Otome Game Dating Sim,,,,,,,,,
Indian Lesbian Chat,,,,,,,,,
InstaGuy,,,,,,,,,
Intensive Care ( Hospital Interactive Story ),,,,,,,,,
IVISCO ClubGay GayChat Chat Gay Chile,,,,,,,,,
Jack’d - Gay Chat & Dating,,,,,,,,,
Just She - Top Lesbian Dating,,,,,,,,,
Keyboard Theme for LGBT Love,,,,,,,,,
"kink: Kinky Dating App for BDSM, Kink & Fetish",,,,,,,,,
"KinkLife: Kinky, BDSM Dating & Fetish Lifestyle",,,,,,,,,
Kinky Dating Chat & Gay Date Lifestyle App - GFet,,,,,,,,,
LA LGBT Center AR,,,,,,,,,
Lady - Lesbian Dating App,,,,,,,,,
Latest Gay Videos,,,,,,,,,
LDating - Chat and Lesbian dating,,,,,,,,,
"Les-Bi:Lesbian Chat & Bi Dating Couples,Singles",,,,,,,,,
"Les: Lesbian Dating App, Chat & Meet Up LGBT Girls",,,,,,,,,
LESARION - lesbian dating,,,,,,,,,
Lesbesocial - Lesbian group & events community app,,,,,,,,,
Lesbian Adult Dating,,,,,,,,,
Lesbian Amino,,,,,,,,,
Lesbian Chat - Girls Chatting App,,,,,,,,,
Lesbian Chat & Dating-Random LGBT Girl Video Chat,,,,,,,,,
"Lesbian Chat Dating - single women, amor free -usa",,,,,,,,,
Lesbian Chat Español,,,,,,,,,
Lesbian Dating,,,,,,,,,
Lesbian Dating - Meet & Chat,,,,,,,,,
"Lesbian Dating , Chat & Date Hookup, LGBT Girls",,,,,,,,,
Lesbian Dating App - AGA,,,,,,,,,
Lesbian dating App & Bisexual Dating app chat room,,,,,,,,,
Lesbian Dating app free | lesbica | chat girls,,,,,,,,,
Lesbian Go,,,,,,,,,
Lesbian Island - Lesbian Dating App &Lesbian Chat,,,,,,,,,
Lesbian Quotes,,,,,,,,,
Lesbian test,,,,,,,,,
Lesbian Vibrator,,,,,,,,,
Lesbianas Amino,,,,,,,,,
Lesbingo - lesbian bisexual dating apps free,,,,,,,,,
LesflicksVOD,,,,,,,,,
LesPark - Lesbian Dating & Chat & Live broadcast,,,,,,,,,
"Lex - Queer, Lesbian, Trans LGBT Friends & Dating",,,,,,,,,
LezFindr Match - The Network For Lesbians,,,,,,,,,
LGBT 4k & Super HD Wallpapers Offline & Free,,,,,,,,,
LGBT Amino em Português,,,,,,,,,
LGBT Amino en Español,,,,,,,,,
​LGBT Bar Annual 2017,,,,,,,,,
LGBT Center of Raleigh,,,,,,,,,
LGBT Chat and Wallpapers 4K HD Fondos de Pantalla,,,,,,,,,
LGBT Color by Number for Adults,,,,,,,,,
LGBT CR Finder,,,,,,,,,
LGBT DATING,,,,,,,,,
LGBT Emoji Sticker Keyboard,,,,,,,,,
LGBT Flags Merge!,,,,,,,,,
LGBT Gay Greeting Cards,,,,,,,,,
LGBT Gay Lesbian Stickers for chat - WAStickerApps,,,,,,,,,
LGBT Gay Music Radio Stations,,,,,,,,,
LGBT Gay Radio FM,,,,,,,,,
LGBT Gay Radio FM +  6.99,,,,,,,,,
LGBT Gay Radio FM PRO    46.99,,,,,,,,,
LGBT Keyboard,,,,,,,,,
LGBT Leaders 2017,,,,,,,,,
LGBT Lingo - MOGAI Dictionary,,,,,,,,,
LGBT Lock Screen,,,,,,,,,
LGBT Love Keyboard Background,,,,,,,,,
LGBT Love Wins Keyboard Stickers for Gboard   3.69,,,,,,,,,
LGBT music online radios,,,,,,,,,
LGBT Pride,,,,,,,,,
LGBT Pride Photo Creator,,,,,,,,,
LGBT Pride Radio,,,,,,,,,
LGBT Pride Stickers – Love Photo Editor With Text,,,,,,,,,
LGBT Quotes,,,,,,,,,
LGBT Radio,,,,,,,,,
LGBT Radio 🏳️‍🌈 📻 - Talk News Music,,,,,,,,,
LGBT Radio Stations,,,,,,,,,
LGBT Radio Stations Online - LGBT FM AM Music,,,,,,,,,
LGBT Social,,,,,,,,,
LGBT Stickers,,,,,,,,,
LGBT VIP NEWSFEED,,,,,,,,,
LGBT Wallpapers,,,,,,,,,
LGBT Wallpapers 🌈 Rainbow wallpaper,,,,,,,,,
LGBT-Space,,,,,,,,,
LGBT+,,,,,,,,,
LGBT+ Amino Community and Chat,,,,,,,,,
LGBTQ Girl Live Keyboard Background,,,,,,,,,
LGBTQ Heart Keyboard Background,,,,,,,,,
LGBTQ Pride Keyboard Theme,,,,,,,,,
LGBTQ Schwul Soundboard - (Gay Soundboard),,,,,,,,,
LGBTQI+social,,,,,,,,,
LIVE A HERO,,,,,,,,,
LongStory: Choose your date,,,,,,,,,
Love & Diaries : Duncan - Romance Interactive,,,,,,,,,
Love Star - Interactive Story & Romance Game,,,,,,,,,
Love Triangle -Free Otome Game,,,,,,,,,
Lovestruck Choose Your Romance,,,,,,,,,
Lu Gyi,,,,,,,,,
Maleforce Gay-Voice-Video Chat,,,,,,,,,
ManAboutWorld Gay Travel Mag,,,,,,,,,
Mandrake Boys,,,,,,,,,
Manhunt - Best Gay Dating App,,,,,,,,,
"Manhunt – Gay Chat, Meet, Date",,,,,,,,,
Manlovedating,,,,,,,,,
marcos para fotos lgbt orgullo gay editor de fotos,,,,,,,,,
"Meet Market Gay Dating: Chat, Meet & Date New Guys",,,,,,,,,
Men and Women Personal Ads - dating and love,,,,,,,,,
Mensa-LGBT-SIG,,,,,,,,,
Moments: Choose Your Story,,,,,,,,,
Moovs,,,,,,,,,
MoreThanOne - Poly Dating,,,,,,,,,
MR X: Gay Dating & Chat,,,,,,,,,
"MUSLapp - Find Gay Friends, Gay Dating, Gay Hookup",,,,,,,,,
My Filipina Friend,,,,,,,,,
My Rental Girlfriend,,,,,,,,,
My Virtual Gay Boyfriend 1.59,,,,,,,,,
My Virtual Gay Boyfriend Free,,,,,,,,,
myGwork - The LGBT Business Community,,,,,,,,,
Naughty Gays At Work (Interactive Story For Guys),,,,,,,,,
Neko Amino,,,,,,,,,
Neon Pride Flag Keyboard Theme,,,,,,,,,
New Gay Videos,,,,,,,,,
Niche dating - Best niche dating reviews,,,,,,,,,
Night of the Lesbian Vampires,,,,,,,,,
ONE Night - Hook Up Dating App,,,,,,,,,
One Night Speed Dating App🔥Hook Up Single Friends,,,,,,,,,
One Night Stand - Be Naughty Date App For Swingers,,,,,,,,,
Only Lads : Gay Dating,,,,,,,,,
Only Women : Lesbian dating,,,,,,,,,
OnlyFans- app GAY guide,,,,,,,,,
Orgi App,,,,,,,,,
Out Events - Get Out and Enjoy LGBT Events,,,,,,,,,
Outfest Now,,,,,,,,,
Outfilm,,,,,,,,,
OUTJAX Radio - LGBT Radio,,,,,,,,,
OUTshine LGBT Film Fest,,,,,,,,,
Party in my Dorm: College Life Roleplay Chat Game,,,,,,,,,
Passion Fruut,,,,,,,,,
Peacock – Gay Sex Calendar  2.49,,,,,,,,,
PinkCupid - Lesbian Dating App,,,,,,,,,
PinkNews,,,,,,,,,
Polyamory Dating App for Open Couples and Singles,,,,,,,,,
"POZ Radar Gay Dating, Chat and Meet",,,,,,,,,
Pride App,,,,,,,,,
Pride Counseling - LGBTQ Specialized Therapists,,,,,,,,,
Pride Flag Live Wallpaper,,,,,,,,,
Pride Live Wallpaper,,,,,,,,,
Pride Love Skull Keyboard Theme,,,,,,,,,
Pride on the Beach,,,,,,,,,
Pride Quiz,,,,,,,,,
Pride Wallpaper HD,,,,,,,,,
Pride Wallpapers,,,,,,,,,
Pride Wear - LGBT+ Rainbow Watch Faces for Wear OS   1.49,,,,,,,,,
ProudFM,,,,,,,,,
PROUDR,,,,,,,,,
"PURE Hookup - anonymous chat & dating, flirt 18+",,,,,,,,,
QBiz.lgbt,,,,,,,,,
Qboyss: Gay Chat & Video Dating App,,,,,,,,,
"QTalk - Video chat, gay, meet lesbian",,,,,,,,,
Queer.pl - apka dla osób LGBT,,,,,,,,,
QueerBFF,,,,,,,,,
Quiz of Trans,,,,,,,,,
Qutie - LGBT Dating and Social Networking,,,,,,,,,
QutieLife - LGBTQ City Building Social Sim Game,,,,,,,,,
Radio Gay FM - Gay App,,,,,,,,,
"Rainbow - Gay chat, gay dating",,,,,,,,,
Rainbow Flag Emoji Keyboard theme for Gay pride,,,,,,,,,
Rainbow Flag LWP,,,,,,,,,
Rainbow Madness | Ultimate Gay Game for Parties,,,,,,,,,
Rainbow Pride Keyboard Theme,,,,,,,,,
RealMen - Free Gay Chat & Dating,,,,,,,,,
Reel-Q Pittsburgh LGBT Film Festival,,,,,,,,,
Rencontre LGBT sérieuse,,,,,,,,,
Revry,,,,,,,,,
ROMEO - Gay Dating & Chat,,,,,,,,,
Ruggd - Gay Bears Cowboys Chasers Dating for Men,,,,,,,,,
Rumpur: Gay Dating & Gay Video Chat,,,,,,,,,
Scandal: Interactive Stories,,,,,,,,,
Scoop - Lesbian Gay News (LGBTQ),,,,,,,,,
SCRUFF,,,,,,,,,
Secret Vibrator For Gays,,,,,,,,,
Secrets: Game of Choices,,,,,,,,,
"Sex Tracker Logger Calendar, Couple Adult Diary",,,,,,,,,
"Sex.Dating Hookup Bisexual, Swingers & Threesome",,,,,,,,,
Sexcapades - Gay Pleasure Pack,,,,,,,,,
Shakerr: Totally FREE Gay Men Dating & Chat,,,,,,,,,
Shuggr - Gay Chat & Dating,,,,,,,,,
Sister Wives - Poly Dating & Matchmaking App,,,,,,,,,
SLS Official Largest Global Swinger Community,,,,,,,,,
Solanaceae: Another Time,,,,,,,,,
"SoulMale - Gay Dating, Chat and Relationships",,,,,,,,,
Spartacus International Gay Guide,,,,,,,,,
SPICY 🌶 Lesbian Chat & Dating,,,,,,,,,
Story Beats: Operate Now Stories,,,,,,,,,
SURGE – Gay Dating & Chat,,,,,,,,,
Swiit Crush - Interactive Stories,,,,,,,,,
Swinda! - Lesbian Hookup and Dating,,,,,,,,,
Swing'App - The Swinger App,,,,,,,,,
Swingers - Fetish Date For Couples & 3some Finders,,,,,,,,,
"Swingers App For Singles, Couples & Threesome App",,,,,,,,,
"Swingers, Hookups, Threesomes & Kink by SDC",,,,,,,,,
Swiper - Matching for Gay and Lesbian,,,,,,,,,
Tabou Stories: Love Episodes,,,,,,,,,
Tabuu - Dating App for Curious Couples & Singles,,,,,,,,,
"Taimi - LGBTQ+ Dating, Chat and Social Network",,,,,,,,,
Taiwan Gay Travel,,,,,,,,,
Tarot Gay,,,,,,,,,
Teen Chat Room,,,,,,,,,
Tello Films,,,,,,,,,
Telugu gay chat,,,,,,,,,
Test of Sexual Orientation,,,,,,,,,
The Arcana: A Mystic Romance - Love Story,,,,,,,,,
The Bro App (BRO),,,,,,,,,
The Gay Body Coach,,,,,,,,,
The Gay Youth Corner   2.19,,,,,,,,,
The House of Grudge : Romance Otome Game,,,,,,,,,
The Law of the First Love ㅣ BL/Yaoi otome game,,,,,,,,,
The Score: interactive men stories & games,,,,,,,,,
thehub.lgbt,,,,,,,,,
there's this girl,,,,,,,,,
Threesome & Kinky BDSM Dating & Hookup APP: 3KINK,,,,,,,,,
Threesome Dating - Kink Couples & Singles - 3SomeD,,,,,,,,,
Threesome Dating Ads for Couples & Singles: 3Club,,,,,,,,,
"Threesome Dating App for Bisexual Singles, couples",,,,,,,,,
Threesome Dating App for Couple & Swingers: Easy3P,,,,,,,,,
Threesome Dating App for Couples & Swingers: 3rder,,,,,,,,,
Threesome Dating App for Couples & Swingers: 3ser,,,,,,,,,
"Threesome dating App for Couples, Swingers Dating",,,,,,,,,
Threesome Dating App for Singles & Couples-Bicupid,,,,,,,,,
Threesome Dating App For Singles& Bi Couples-3some,,,,,,,,,
Threesome Dating App for swingers & couples Dating,,,,,,,,,
"Threesome Dating App for Swingers, Couples - 3Sum",,,,,,,,,
"Threesome Dating App for Swingers, Couples Dating",,,,,,,,,
"Threesome Dating App, Swingers App &Couples Dating",,,,,,,,,
Threesome Dating Club for Open Minded Couples,,,,,,,,,
Threesome Dating For Swingers & Bisexual: 3Hook,,,,,,,,,
Threesome Hookup & Free Dating App - The Unicorn,,,,,,,,,
Tokyo Afterschool Summoners,,,,,,,,,
Tomai,,,,,,,,,
"TopGay - gay video chat, gay friends, gay dating",,,,,,,,,
"Trans - Transgender, Kinky, Dating & Chat",,,,,,,,,
Trans-Gay Live Chat Date Bisexual Meet&Video Call,,,,,,,,,
TransFable — Transgender & Crossdresser Dating,,,,,,,,,
"TransG:Transgender, Crossdresser, Date Free Chat",,,,,,,,,
Transgender Flirt,,,,,,,,,
Transgender: Trans Dating for TS & Crossdresser,,,,,,,,,
Transition,,,,,,,,,
"Transpal - Transgender Dating, Trans Meet & Chat",,,,,,,,,
"Trilove:Threesome,Swingers,kinky Couple Dating App",,,,,,,,,
TruckerSucker gay dating truck drivers & truckers,,,,,,,,,
True Tea Magazine LGBT Live Radio,,,,,,,,,
"TrulyHim --Gay dating, Live Chat & Video Calling",,,,,,,,,
TS Dating: Free TS Dating App,,,,,,,,,
TWINK - Same Sex 🍆🍑 Gay Chat 🌶 Live Dating,,,,,,,,,
Twinks Boys,,,,,,,,,
u4Bear: Gay Bear Social App,,,,,,,,,
Umeed Gay/LGBT matrimony,,,,,,,,,
Unicorn- Unique Gay to Date,,,,,,,,,
United Men,,,,,,,,,
UrbanGay : gay & lesbian chat,,,,,,,,,
Urge - Gay Chat,,,,,,,,,
Vampire Boyfriend Plus/Yaoi Game,,,,,,,,,
Venom - Lesbian & LGBTQ Dating App,,,,,,,,,
VIGR,,,,,,,,,
Virtual Boyfriend For Gays (Texting App Game),,,,,,,,,
VU:BDSM Dating& Fet Life Style Chat Meet Personals,,,,,,,,,
W | Bear : Gay Bear's Chat App,,,,,,,,,
WALLPAPERS LGBT NASH,,,,,,,,,
"Wapa: Lesbian Dating, Find a Match & Chat to Women",,,,,,,,,
"Wapo: Gay Dating - Find, Meet & Chat to Men",,,,,,,,,
WAStickerapps Lgbt,,,,,,,,,
WE : LGBT+ Dating & Community!,,,,,,,,,
What Do You Think - FOR LGBT COMMUNITY,,,,,,,,,
Wild - Adult Hookup Finder & Casual Dating App,,,,,,,,,
Windfall LGBT,,,,,,,,,
WooHim - For Gay Guys,,,,,,,,,
World Gay News Today,,,,,,,,,
Xtudr,,,,,,,,,
Xy : Sincere and Secure Gay network,,,,,,,,,
Yaoi Beast Boys : Anime Romance Game,,,,,,,,,
Yearning: A Gay Story,,,,,,,,,
YouProud – totally free progressive LGBT platform.,,,,,,,,,
Your Dry Delight (BL/Yaoi game),,,,,,,,,
Zebra - Gay Interracial Dating,,,,,,,,,
Zoe: Lesbian Dating & Chat App,,,,,,,,,
"게이 데이팅 앱, 코어 👬(Gay Dating app CORE) 🌈",,,,,,,,,
ホロケウカムイといっしょ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Simulation,,,,,,,,