,Apps,url,search_string
0,3Fun: Threesome & Swingers App,https://fnd.io/#/nz/ios-universal-app/1164067996-3fun-threesome-swingers-app-by-3fun-limi,3fun-threesome-swingers-app
1,9monsters Gay Chat,https://fnd.io/#/nz/ios-universal-app/451345005-9monsters-gay-chat-by-team-ab,9monsters-gay-chat
2,Adam4Adam Gay Dating Chat A4A,https://fnd.io/#/nz/ios-universal-app/440185993-adam4adam-gay-dating-chat-a4a-by-a4a-netw,adam4adam-gay-dating-chat-a4a
3,Adult Hookup App. Dating Chat,https://fnd.io/#/nz/iphone-app/1328695473-adult-hookup-app-dating-chat-by-lemon-co,adult-hookup-app-dating-chat
4,AdultChat live video call&chat,https://fnd.io/#/nz/iphone-app/1514347249-adultchat-live-video-callchat-by-wai-chi,adultchat-live-video-callchat
5,Amino: Communities and Chats,https://fnd.io/#/nz/iphone-app/1115565187-amino-communities-and-chats-by-narvii-in,amino-communities-and-chats
6,Athlete - Gay Video Chat App,https://fnd.io/#/nz/ios-universal-app/1071495237-athlete-gay-video-chat-app-by-yoichi-kis,athlete-gay-video-chat-app
7,Atraf - gay chat & dating app,https://fnd.io/#/nz/iphone-app/383112193-atraf-gay-chat-dating-app-by-cyberserve-l,atraf-gay-chat-dating-app
8,Badoo — Dating. Chat. Friends,https://fnd.io/#/nz/ios-universal-app/351331194-badoo-dating-chat-friends-by-badoo-softwa,badoo-dating-chat-friends
9,banana - Gay Male Video Chat,https://fnd.io/#/nz/iphone-app/1187641286-banana-gay-male-video-chat-by-vocato-sl,banana-gay-male-video-chat
10,BC: LGBT & Bisexual Dating App,https://fnd.io/#/nz/iphone-app/1481809362-bc-lgbt-bisexual-dating-app-by-sathish-d,bc-lgbt-bisexual-dating-app
11,Beuronline - gay arab chat,https://fnd.io/#/nz/ios-universal-app/827667639-beuronline-gay-arab-chat-by-studio-presse,beuronline-gay-arab-chat
12,BiBoom: Bisexual Chat & Dating,https://fnd.io/#/nz/iphone-app/1531552830-biboom-bisexual-chat-dating-by,biboom-bisexual-chat-dating
13,Bimeet: Bisexual Dating App,https://fnd.io/#/nz/iphone-app/1485668421-bimeet-bisexual-dating-app-by,bimeet-bisexual-dating-app
14,Bisexual Amino,https://fnd.io/#/nz/iphone-app/1185423120-bisexual-amino-by-narvii-inc,bisexual-amino
15,Bisexual Dating App - Purpled!,https://fnd.io/#/nz/iphone-app/1057001329-bisexual-dating-app-purpled-by-gomatch-l,bisexual-dating-app-purpled
16,Bix – Bisexual Dating App,https://fnd.io/#/nz/iphone-app/1483939469-bix-bisexual-dating-app-by-shekhar-ravag,bix-bisexual-dating-app
17,Blued - Gay Chat & Gay Dating,https://fnd.io/#/nz/iphone-app/1090274263-blued-gay-chat-gay-dating-by-bluecity-ho,blued-gay-chat-gay-dating
18,"BRO: Friends, Dates, and FWBs",https://fnd.io/#/nz/iphone-app/1049979758-bro-friends-dates-and-fwbs-by-brotech-ll,bro-friends-dates-and-fwbs
19,Bumble - Dating. Friends. Chat,https://fnd.io/#/nz/iphone-app/930441707-bumble-dating-friends-chat-by-bumble-hold,bumble-dating-friends-chat
20,Butterfly Transgender Dating,https://fnd.io/#/nz/ios-universal-app/1477032708-butterfly-transgender-dating-by-dm-cubed,butterfly-transgender-dating
21,Candid Connection,https://fnd.io/#/nz/ios-universal-app/1033547782-candid-connection-by-ravindra-prajapati,candid-connection
22,CARFRIEND -> Meet new people,https://fnd.io/#/nz/ios-universal-app/973163139-carfriend-meet-new-people-by-kirill-ivlev,carfriend-meet-new-people
23,"Chat for Strangers, Video Chat",https://fnd.io/#/nz/ios-universal-app/447269854-chat-for-strangers-video-chat-by-funpokes,chat-for-strangers-video-chat
24,Chatly - gay chat & hookup,https://fnd.io/#/nz/iphone-app/1468643560-chatly-gay-chat-hookup-by-stanislav-rude,chatly-gay-chat-hookup
25,Clover Dating App,https://fnd.io/#/nz/iphone-app/771990977-clover-dating-app-by-clover-inc,clover-dating-app
26,Color Dating App – Meet Me,https://fnd.io/#/nz/iphone-app/1100827439-color-dating-app-meet-me-by-slidemail-in,color-dating-app-meet-me
27,ComeOut: LGBT community & chat,https://fnd.io/#/nz/ios-universal-app/1518471027-comeout-lgbt-community-chat-by-social-te,comeout-lgbt-community-chat
28,Connected2.me – Chat & Meet,https://fnd.io/#/nz/iphone-app/832556482-connected2me-chat-meet-by-c2m,connected2me-chat-meet
29,Coolio – Gay Dating & Chat,https://fnd.io/#/nz/iphone-app/725292404-coolio-gay-dating-chat-by-gigaworks-corp,coolio-gay-dating-chat
30,Cruising gay hangouts,https://fnd.io/#/nz/iphone-app/1023671750-cruising-gay-hangouts-by-samuel-hervas-g,cruising-gay-hangouts
31,"Cupid - Dating, Chat, Flirt",https://fnd.io/#/nz/iphone-app/379268567-cupid-dating-chat-flirt-by-nsi-holdings-l,cupid-dating-chat-flirt
32,CYBERMEN,https://fnd.io/#/nz/ios-universal-app/351111380-cybermen-by-123multimedia,cybermen
33,Daddyhunt: Fun Gay Dating,https://fnd.io/#/nz/ios-universal-app/921687947-daddyhunt-fun-gay-dating-by-dh-services,daddyhunt-fun-gay-dating
34,Dating & Chat For Threesome,https://fnd.io/#/nz/iphone-app/1507544819-dating-chat-for-threesome-by-omega-co-lt,dating-chat-for-threesome
35,DIGSSO - GAY SOCIAL NETWORK,https://fnd.io/#/nz/iphone-app/662043266-digsso-gay-social-network-by-muddleworks-,digsso-gay-social-network
36,DILF,https://fnd.io/#/nz/iphone-app/1452669178-dilf-by-man-upp-enterprises,dilf
37,DOWN Date&Hookup:18+ Fun Chat,https://fnd.io/#/nz/iphone-app/601174087-down-datehookup18-fun-chat-by-down-inc,down-datehookup18-fun-chat
38,EliteSingles - Serious Dating,https://fnd.io/#/nz/ios-universal-app/990571557-elitesingles-serious-dating-by-spark-netw,elitesingles-serious-dating
39,Feeld: For Couples & Singles,https://fnd.io/#/nz/iphone-app/887914690-feeld-for-couples-singles-by-feeld-ltd,feeld-for-couples-singles
40,Findle: Gay Dating & Chat App,https://fnd.io/#/nz/iphone-app/1372550606-findle-gay-dating-chat-app-by-ion-danilo,findle-gay-dating-chat-app
41,For Her: Flirt & Meet Women,https://fnd.io/#/nz/iphone-app/1259968780-for-her-flirt-meet-women-by-tang-kebi,for-her-flirt-meet-women
42,Fridae - LGBT Asia,https://fnd.io/#/nz/ios-universal-app/400632898-fridae-lgbt-asia-by-fridae-limited,fridae-lgbt-asia
43,Gay dating & chat app | Notabu,https://fnd.io/#/nz/iphone-app/1485018597-gay-dating-chat-app-notabu-by-kirill-ivl,gay-dating-chat-app-notabu
44,Gay dating apps & Chats,https://fnd.io/#/nz/ios-universal-app/1245542372-gay-dating-apps-chats-by-reticode,gay-dating-apps-chats
45,Gay Dating Hookup App - GKiss,https://fnd.io/#/nz/iphone-app/1491358253-gay-dating-hookup-app-gkiss-by,gay-dating-hookup-app-gkiss
46,Gay Dating Hookup Chat App for Kik & Snapchat,https://fnd.io/#/nz/ios-universal-app/1166888457-gay-dating-hookup-chat-app-for-kik-snapc,gay-dating-hookup-chat-app-for-kik-sn
47,gay dating- VGL twinks & jocks,https://fnd.io/#/nz/ios-universal-app/602776294-gay-dating-vgl-twinks-jocks-by-byte-facto,gay-dating-vgl-twinks-jocks
48,Gay Friendly. Dating Chat Meet,https://fnd.io/#/nz/ios-universal-app/1446173888-gay-friendly-dating-chat-meet-by-dabltec,gay-friendly-dating-chat-meet
49,GAY TIMES,https://fnd.io/#/nz/ios-universal-app/374917341-gay-times-by-gay-times-limited,gay-times
50,Gay Video Streaming & Dating,https://fnd.io/#/nz/ios-universal-app/1229347669-gay-video-streaming-dating-by-my-top-app,gay-video-streaming-dating
51,Gay.,https://fnd.io/#/nz/ios-universal-app/1462068523-gay-by-digitalmarketer,gay
52,Gaydar - Gay Dating and Chat,https://fnd.io/#/nz/ios-universal-app/371711798-gaydar-gay-dating-and-chat-by-cpc-connect,gaydar-gay-dating-and-chat
53,Gayhunt : Gay Hookup & Dating,https://fnd.io/#/nz/iphone-app/1500431191-gayhunt-gay-hookup-dating-by-gayhunt-llc,gayhunt-gay-hookup-dating
54,Gaylord-gay dating apps & chat,https://fnd.io/#/nz/iphone-app/1550958953-gaylord-gay-dating-apps-chat-by-gaylord-,gaylord-gay-dating-apps-chat
55,GayRoyal - Dating & Chat,https://fnd.io/#/nz/ios-universal-app/901795746-gayroyal-dating-chat-by-42pixels,gayroyal-dating-chat
56,Gays AroundMe - Gay Dating To Meet New Local Guys,https://fnd.io/#/nz/ios-universal-app/476454059-gays-aroundme-gay-dating-to-meet-new-loca,gays-aroundme-gay-dating-to-meet-new-
57,Gayzr - Gay Chat & Dating App,https://fnd.io/#/nz/iphone-app/1381419452-gayzr-gay-chat-dating-app-by-olga-gallya,gayzr-gay-chat-dating-app
58,Genie — Gay Dating,https://fnd.io/#/nz/iphone-app/1098244626-genie-gay-dating-by-wayd-llc,genie-gay-dating
59,Getmale Gay Dating,https://fnd.io/#/nz/ios-universal-app/609004876-getmale-gay-dating-by-kozelo,getmale-gay-dating
60,Grindr - Gay chat,https://fnd.io/#/nz/ios-universal-app/319881193-grindr-gay-chat-by-grindr-llc,grindr-gay-chat
61,Grizzly- Gay Dating & Chat,https://fnd.io/#/nz/ios-universal-app/1190926783-grizzly-gay-dating-chat-by-surge-gay-app,grizzly-gay-dating-chat
62,GROWLr: Gay Bears Near You,https://fnd.io/#/nz/ios-universal-app/393402212-growlr-gay-bears-near-you-by-initech-llc,growlr-gay-bears-near-you
63,GRUNT,https://fnd.io/#/nz/iphone-app/943249588-grunt-by-sentedia-llc,grunt
64,GuySpy: Gay Dating & Chat,https://fnd.io/#/nz/iphone-app/1185069140-guyspy-gay-dating-chat-by-pink-triangle-,guyspy-gay-dating-chat
65,HARDLINE Chat,https://fnd.io/#/nz/iphone-app/483152448-hardline-chat-by-fmg-inc,hardline-chat
66,HER: Lesbian & LGBTQ Dating,https://fnd.io/#/nz/ios-universal-app/573328837-her-lesbian-lgbtq-dating-by-bloomer-inc,her-lesbian-lgbtq-dating
67,"HOLE, the gay chat & dating",https://fnd.io/#/nz/iphone-app/1154947579-hole-the-gay-chat-dating-by-soul-technol,hole-the-gay-chat-dating
68,Hornet - Gay Social Network,https://fnd.io/#/nz/ios-universal-app/462678375-hornet-gay-social-network-by-hornet-netwo,hornet-gay-social-network
69,Jack’d - Gay Chat & Dating,https://fnd.io/#/nz/ios-universal-app/350426804-jackd-gay-chat-dating-by-perry-street-sof,jackd-gay-chat-dating
70,Just A Baby,https://fnd.io/#/nz/ios-universal-app/1147759844-just-a-baby-by-justa-baby,just-a-baby
71,Kindu For Couples,https://fnd.io/#/nz/ios-universal-app/346524753-kindu-for-couples-by-franklin-innovations,kindu-for-couples
72,"KinkD: Kink, BDSM Dating Chat",https://fnd.io/#/nz/ios-universal-app/1126201375-kinkd-kink-bdsm-dating-chat-by-bdsm-fetl,kinkd-kink-bdsm-dating-chat
73,"Kinkoo: BDSM, Kink, Fet Dating",https://fnd.io/#/nz/ios-universal-app/1394527740-kinkoo-bdsm-kink-fet-dating-by-kinky-dat,kinkoo-bdsm-kink-fet-dating
74,Kinkr: Kink Fetish BDSM Dating,https://fnd.io/#/nz/iphone-app/1485825130-kinkr-kink-fetish-bdsm-dating-by-dating-,kinkr-kink-fetish-bdsm-dating
75,"Krave- Gay Chat, Gay Dating",https://fnd.io/#/nz/ios-universal-app/543845489-krave-gay-chat-gay-dating-by-hiball-llc,krave-gay-chat-gay-dating
76,LESARION - lesbian dating,https://fnd.io/#/nz/iphone-app/436962878-lesarion-lesbian-dating-by-lesarion-gmbh-,lesarion-lesbian-dating
77,LesBeSocial: Lesbian LGBTQ app,https://fnd.io/#/nz/ios-universal-app/1021079981-lesbesocial-lesbian-lgbtq-app-by-social-,lesbesocial-lesbian-lgbtq-app
78,Lesbian Dating App - Wonder,https://fnd.io/#/nz/ios-universal-app/1348744273-lesbian-dating-app-wonder-by-indating,lesbian-dating-app-wonder
79,Lesbian Singles: Dating & Chat,https://fnd.io/#/nz/ios-universal-app/1297152391-lesbian-singles-dating-chat-by-ignitetec,lesbian-singles-dating-chat
80,Lesbianas Amino para LGBT+,https://fnd.io/#/nz/iphone-app/1185418888-lesbianas-amino-para-lgbt-by-narvii-inc,lesbianas-amino-para-lgbt
81,Lesly: Lesbian Dating & Meetup,https://fnd.io/#/nz/iphone-app/1152403579-lesly-lesbian-dating-meetup-by-lesly-lim,lesly-lesbian-dating-meetup
82,Lex - Queer Friends & Dating,https://fnd.io/#/nz/iphone-app/1436964232-lex-queer-friends-dating-by-personal-bes,lex-queer-friends-dating
83,LGBT Dating Seeking: BiOpen,https://fnd.io/#/nz/iphone-app/1471651782-lgbt-dating-seeking-biopen-by-evgeniya-v,lgbt-dating-seeking-biopen
84,LGBT+ Amino Community and Chat,https://fnd.io/#/nz/iphone-app/1138410378-lgbt-amino-community-and-chat-by-narvii-,lgbt-amino-community-and-chat
85,Loov: Bisexual & Casual Dating,https://fnd.io/#/nz/iphone-app/1498304562-loov-bisexual-casual-dating-by-nagaraju-,loov-bisexual-casual-dating
86,LTing,https://fnd.io/#/nz/ios-universal-app/1062898594-lting-by-ui-jun-hwang,lting
87,MagicMirror - Gay Dating App,https://fnd.io/#/nz/iphone-app/1490772094-magicmirror-gay-dating-app-by-friending-,magicmirror-gay-dating-app
88,Maleforce - Gay chat,https://fnd.io/#/nz/ios-universal-app/1164955538-maleforce-gay-chat-by-amoja-ltd,maleforce-gay-chat
89,"Manhunt – Gay Chat, Meet, Date",https://fnd.io/#/nz/ios-universal-app/398537918-manhunt-gay-chat-meet-date-by-online-budd,manhunt-gay-chat-meet-date
90,Matcha: Challenge Your Crush,https://fnd.io/#/nz/ios-universal-app/1253690514-matcha-challenge-your-crush-by-diffcat,matcha-challenge-your-crush
91,MeetMe - Meet new people!,https://fnd.io/#/nz/iphone-app/372648912-meetme-meet-new-people-by-meetme-inc,meetme-meet-new-people
92,MEOW Gay Boys & Guys Gay Apps,https://fnd.io/#/nz/iphone-app/672151198-meow-gay-boys-guys-gay-apps-by-shag-digit,meow-gay-boys-guys-gay-apps
93,Mr X: Gay chat and dating,https://fnd.io/#/nz/ios-universal-app/429431089-mr-x-gay-chat-and-dating-by-dh-services,mr-x-gay-chat-and-dating
94,Musclr - Gay Muscle Dating,https://fnd.io/#/nz/ios-universal-app/969052674-musclr-gay-muscle-dating-by-pocket-bear-l,musclr-gay-muscle-dating
95,MUSLapp Gay dating & socialapp,https://fnd.io/#/nz/iphone-app/1241573685-muslapp-gay-dating-socialapp-by-ootem-ad,muslapp-gay-dating-socialapp
96,myBOY - Gay Chat & Dating,https://fnd.io/#/nz/iphone-app/1397288915-myboy-gay-chat-dating-by-timm-kent,myboy-gay-chat-dating
97,NextBoy - Gay Hookup & Dating,https://fnd.io/#/nz/ios-universal-app/1434161303-nextboy-gay-hookup-dating-by-timm-kent,nextboy-gay-hookup-dating
98,OkCupid: Online Dating App,https://fnd.io/#/nz/iphone-app/338701294-okcupid-online-dating-app-by-okcupid,okcupid-online-dating-app
99,Online dating app - Happy Meet,https://fnd.io/#/nz/ios-universal-app/1450615864-online-dating-app-happy-meet-by-aleksei-,online-dating-app-happy-meet
100,Only Lads,https://fnd.io/#/nz/ios-universal-app/994079891-only-lads-by-rocketware-limited,only-lads
101,Only Women,https://fnd.io/#/nz/ios-universal-app/1031461510-only-women-by-rocketware-limited,only-women
102,PearUp - Chat & Dating App,https://fnd.io/#/nz/ios-universal-app/1452411595-pearup-chat-dating-app-by-pearup-inc,pearup-chat-dating-app
103,QueerBFF,https://fnd.io/#/nz/iphone-app/1199569964-queerbff-by-gay-bff-llc,queerbff
104,Qutie - LGBT Dating,https://fnd.io/#/nz/iphone-app/1075207931-qutie-lgbt-dating-by-app-central-ltd,qutie-lgbt-dating
105,RealMen,https://fnd.io/#/nz/ios-universal-app/1424378966-realmen-by-rm-media-gmbh,realmen
106,Recon - Find Fetish Men,https://fnd.io/#/nz/iphone-app/346152901-recon-find-fetish-men-by-t101-limited,recon-find-fetish-men
107,ROMEO - Gay Dating & Chat,https://fnd.io/#/nz/ios-universal-app/404386888-romeo-gay-dating-chat-by-planetromeo-bv,romeo-gay-dating-chat
108,Rumpur: Gay Dating,https://fnd.io/#/nz/iphone-app/1208014378-rumpur-gay-dating-by-rumpurcom-llc,rumpur-gay-dating
109,Sapio — Intelligent Dating,https://fnd.io/#/nz/iphone-app/1065617263-sapio-intelligent-dating-by-humanist-dat,sapio-intelligent-dating
110,Saxiva - Dating. Chat. Go Live,https://fnd.io/#/nz/ios-universal-app/1546380101-saxiva-dating-chat-go-live-by-anybody-ll,saxiva-dating-chat-go-live
111,SCRUFF,https://fnd.io/#/nz/ios-universal-app/380015247-scruff-by-perry-street-software-inc,scruff
112,Shuggr,https://fnd.io/#/nz/ios-universal-app/1071300251-shuggr-by-shuggr-ltd,shuggr
113,SilverDaddies,https://fnd.io/#/nz/ios-universal-app/964196822-silverdaddies-by-dennis-andersen,silverdaddies
114,Skout — Meet New People,https://fnd.io/#/nz/ios-universal-app/302324249-skout-meet-new-people-by-skout-inc,skout-meet-new-people
115,Solace LGBT,https://fnd.io/#/nz/iphone-app/1491709113-solace-lgbt-by-crowdbotics-corporation,solace-lgbt
116,SURGE – Gay Dating & Chat App,https://fnd.io/#/nz/ios-universal-app/709551897-surge-gay-dating-chat-app-by-surge-gay-ap,surge-gay-dating-chat-app
117,Swipehouse,https://fnd.io/#/nz/ios-universal-app/1516566208-swipehouse-by-summer-playbook-inc,swipehouse
118,Tabuu : Swinglifestyle Dating,https://fnd.io/#/nz/iphone-app/1366352639-tabuu-swinglifestyle-dating-by-tabuu-pty,tabuu-swinglifestyle-dating
119,"Tagged -Chill, Chat & Go Live!",https://fnd.io/#/nz/ios-universal-app/358899126-tagged-chill-chat-go-live-by-ifwe-inc,tagged-chill-chat-go-live
120,"Taimi: LGBTQ+ Dating, Chat",https://fnd.io/#/nz/ios-universal-app/1282966364-taimi-lgbtq-dating-chat-by-social-impact,taimi-lgbtq-dating-chat
121,Talko: Lesbian Dating & Chat,https://fnd.io/#/nz/iphone-app/1293657229-talko-lesbian-dating-chat-by-talko,talko-lesbian-dating-chat
122,ThaiJoop - Thai Dating,https://fnd.io/#/nz/ios-universal-app/580010244-thaijoop-thai-dating-by-fwends-ltd,thaijoop-thai-dating
123,the L (formely Rela),https://fnd.io/#/nz/ios-universal-app/1086944243-the-l-formely-rela-by-hangzhou-re-lan-ne,the-l-formely-rela
124,"Threesome Hookup, 3Some Meet",https://fnd.io/#/nz/iphone-app/1215154593-threesome-hookup-3some-meet-by,threesome-hookup-3some-meet
125,Threesome Swingers App - 3way,https://fnd.io/#/nz/ios-universal-app/1437366808-threesome-swingers-app-3way-by-dating-ho,threesome-swingers-app-3way
126,Tinder - Dating. Friends. Fun.,https://fnd.io/#/nz/iphone-app/547702041-tinder-dating-friends-fun-by-tinder-inc,tinder-dating-friends-fun
127,Trans Dating & Chat - Transdr,https://fnd.io/#/nz/iphone-app/1476710285-trans-dating-chat-transdr-by,trans-dating-chat-transdr
128,Transgender Dating Hook up App,https://fnd.io/#/nz/iphone-app/1377472508-transgender-dating-hook-up-app-by,transgender-dating-hook-up-app
129,Travmaga #1 Trans Dating,https://fnd.io/#/nz/ios-universal-app/1031308414-travmaga-1-trans-dating-by-diva,travmaga-1-trans-dating
130,"Tser: TS, Transgender Dating",https://fnd.io/#/nz/ios-universal-app/1436679914-tser-ts-transgender-dating-by-dating-app,tser-ts-transgender-dating
131,Twoo - Meet New People,https://fnd.io/#/nz/ios-universal-app/486773266-twoo-meet-new-people-by-massive-media-mat,twoo-meet-new-people
132,u2nite - gay chat and dating,https://fnd.io/#/nz/iphone-app/480606667-u2nite-gay-chat-and-dating-by-wildtrolls-,u2nite-gay-chat-and-dating
133,u4Bear: Gay bear social,https://fnd.io/#/nz/ios-universal-app/411134419-u4bear-gay-bear-social-by-aplicaciones-y-,u4bear-gay-bear-social
134,United Men Gay Chat,https://fnd.io/#/nz/ios-universal-app/1239443455-united-men-gay-chat-by-studio-presse,united-men-gay-chat
135,Urban Gay : gay & lesbian chat,https://fnd.io/#/nz/ios-universal-app/1206443855-urban-gay-gay-lesbian-chat-by-123multime,urban-gay-gay-lesbian-chat
136,Vent - Express your feelings,https://fnd.io/#/nz/iphone-app/780298346-vent-express-your-feelings-by-reflectly-a,vent-express-your-feelings
137,"Video Chat BFF - Social Text Messenger to Match Straight, Gay, Lesbian Singles nearby for FaceTime, Skype, Kik & Snapchat calls",https://fnd.io/#/nz/iphone-app/483508042-video-chat-bff-social-text-messenger-to-m,video-chat-bff-social-text-messenger-
138,Wapa : Lesbian Dating & Chat,https://fnd.io/#/nz/ios-universal-app/964163407-wapa-lesbian-dating-chat-by-wapo-y-wapa-l,wapa-lesbian-dating-chat
139,Wapo Gay Dating & Chat For Men,https://fnd.io/#/nz/ios-universal-app/964162797-wapo-gay-dating-chat-for-men-by-wapo-y-wa,wapo-gay-dating-chat-for-men
140,WE - Gay Hookup,https://fnd.io/#/nz/iphone-app/1520398445-we-gay-hookup-by-marlin-brandin,we-gay-hookup
141,WingMatch,https://fnd.io/#/nz/iphone-app/1152831302-wingmatch-by-wingmatch-llc,wingmatch
142,XConfessions. The Couples app,https://fnd.io/#/nz/ios-universal-app/1318649256-xconfessions-the-couples-app-by-julian-l,xconfessions-the-couples-app
143,Xtremboy - gay fetish chat,https://fnd.io/#/nz/ios-universal-app/1188285842-xtremboy-gay-fetish-chat-by-i-planet,xtremboy-gay-fetish-chat
144,YouProud - LGBT platform.,https://fnd.io/#/nz/iphone-app/1437064839-youproud-lgbt-platform-by-maksym-kuliaie,youproud-lgbt-platform
145,Zoe: Lesbian Dating & Chat App,https://fnd.io/#/nz/ios-universal-app/1269081011-zoe-lesbian-dating-chat-app-by-surge-gay,zoe-lesbian-dating-chat-app
146,"Zoosk Dating: Chat, Meet, Date",https://fnd.io/#/nz/ios-universal-app/349160522-zoosk-dating-chat-meet-date-by-zoosk-inc,zoosk-dating-chat-meet-date